hkjc_team_id,hkjc_name_en,hkjc_event_id,reason,near_count,source_errors,fetched_at
50002837,Singapore,FB5804,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000338,Azerbaijan U21,FB5766,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000919,Czechia U21,FB5766,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001598,India,FB5787,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002398,Panama,FB5787,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001584,Iceland U21,FB5738,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001272,France U21,FB5738,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002260,Niger,FB5757,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001898,Lesotho,FB5757,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000594,Bulgaria U21,FB5740,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002505,Portugal U21,FB5740,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001354,Georgia,FB5715,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002291,Northern Ireland,FB5715,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000236,Armenia,FB5716,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001873,Latvia,FB5716,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002859,Slovakia U21,FB5723,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002624,Republic of Ireland U21,FB5723,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002261,Nigeria,FB5746,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001993,Madagascar,FB5746,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
