hkjc_team_id,hkjc_name_en,hkjc_name_ch,cohort,external_source,external_team_id,external_name,evidence_class,confirmed,confidence,source_url,source_timestamp,fetched_at,raw_context
50001419,Gillingham,基寧咸,SENIOR,fotmob,10173,Gillingham,CONFIRMED_FACT,true,0.944,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T02:00:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5625"",""fotmob_match_id"":6016322}"
50000654,Cambridge Utd,劍橋聯,SENIOR,fotmob,9834,Cambridge United,CONFIRMED_FACT,true,0.944,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T02:00:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5625"",""fotmob_match_id"":6016322}"
50000738,Chesterfield,車士打菲特,SENIOR,fotmob,9786,Chesterfield,CONFIRMED_FACT,true,1.0,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T02:00:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5626"",""fotmob_match_id"":6015006}"
50002485,Port Vale,維爾港,SENIOR,fotmob,9799,Port Vale,CONFIRMED_FACT,true,1.0,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T02:00:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5626"",""fotmob_match_id"":6015006}"
50000732,Cheltenham,車頓咸,SENIOR,fotmob,8680,Cheltenham Town,CONFIRMED_FACT,true,0.917,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T02:00:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5627"",""fotmob_match_id"":6016267}"
50001142,Exeter City,埃克塞特,SENIOR,fotmob,9833,Exeter City,CONFIRMED_FACT,true,0.917,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T02:00:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5627"",""fotmob_match_id"":6016267}"
50003402,York City,約克城,SENIOR,fotmob,9916,York City,CONFIRMED_FACT,true,0.875,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T02:00:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5630"",""fotmob_match_id"":6014988}"
50002660,Rotherham,洛達咸,SENIOR,fotmob,8119,Rotherham United,CONFIRMED_FACT,true,0.875,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T02:00:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5630"",""fotmob_match_id"":6014988}"
50000790,Cobreloa,哥比路亞,SENIOR,fotmob,1843,Cobreloa,CONFIRMED_FACT,true,1.0,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T07:30:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5607"",""fotmob_match_id"":6162923}"
50000291,Audax Italiano,奧達斯,SENIOR,fotmob,4058,Audax Italiano,CONFIRMED_FACT,true,1.0,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T07:30:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5609"",""fotmob_match_id"":6162924}"
50000796,Colo Colo,高路高路,SENIOR,fotmob,7815,Colo Colo,CONFIRMED_FACT,true,1.0,https://www.fotmob.com/api/data/matches?date=20260923,2026-09-23T07:30:00+08:00,2026-09-22T00:29:05.520107+00:00,"{""hkjc_event_id"":""FB5609"",""fotmob_match_id"":6162924}"
