fetched_at_hkt,hkjc_event_id,home,away,model_league,model_home_name,model_away_name,dc_prob_home,dc_prob_draw,dc_prob_away,dc_xg_home,dc_xg_away,dc_prob_over25,pi_prob_home,pi_prob_draw,pi_prob_away,pi_home_rating,pi_away_rating,pi_diff,training_matches,team_match_quality,quality,model_source
2026-09-22T00:22:41+08:00,FB5615,Machida Zelvia,Tochigi City,HKJC connected history (JEC),Machida Zelvia,Tochigi City,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5616,Belgium U21,Belarus U21,HKJC E2Q,Belgium U21,Belarus U21,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5617,Club Leon Women,Juarez Women,Mexico top flight,Club Leon,Juarez,0.470149,0.249740,0.280111,1.74968,1.31048,0.590145,0.651599,0.266082,0.082319,-0.27495,-0.88469,0.60974,461,0.940,MODELED,football-data.co.uk extra / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5618,Toluca Women,Tigres UANL Women,Mexico top flight,Toluca,Tigres UANL,0.521605,0.265679,0.212716,1.61616,0.94825,0.472596,0.739571,0.210136,0.050293,0.80000,0.15457,0.64543,461,0.940,MODELED,football-data.co.uk extra / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5619,Santos Laguna Women,Cruz Azul Women,Mexico top flight,Santos Laguna,Cruz Azul,0.186602,0.221483,0.591916,1.09419,2.07298,0.613179,0.063514,0.235956,0.700530,-0.75434,0.53916,-1.29350,461,0.940,MODELED,football-data.co.uk extra / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5620,Salford City,Sheff Wednesday,HKJC connected history (ELT),Salford City,Sheff Wednesday,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5621,Oldham,Fleetwood,ENG League Two,Oldham,Fleetwood Town,0.490212,0.277529,0.232260,1.33999,0.82465,0.367792,0.429457,0.365074,0.205470,0.22138,0.08965,0.13173,700,1.000,MODELED,football-data.co.uk main / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5622,Peterborough,Colchester,HKJC connected history (ELT),Peterborough,Colchester,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5623,Tranmere,Shrewsbury,ENG League Two,Tranmere,Shrewsbury,0.518296,0.244540,0.237165,1.61959,1.00728,0.488292,0.435806,0.363288,0.200906,-0.43773,-0.53951,0.10177,700,1.000,MODELED,football-data.co.uk main / penaltyblog 1.12.2
2026-09-22T00:22:41+08:00,FB5624,Walsall,Stevenage,HKJC connected history (ELT),Walsall,Stevenage,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
2026-09-22T00:22:41+08:00,FB5625,Gillingham,Cambridge Utd,HKJC connected history (ELT),Gillingham,Cambridge Utd,,,,,,,,,,,,,,1.000,SPARSE_GRAPH_REJECTED,HKJC history reserved for Team-Form Poisson
