fetched_at_hkt,hkjc_event_id,match_id,kickoff_hkt,tournament,home_id,away_id,home,away
2026-09-16T06:55:54+08:00,FB5199,50075760,2026-09-16T09:00:00.000+08:00,MXL,50002537,50003088,Puebla,Toluca
2026-09-16T06:55:54+08:00,FB5215,50075844,2026-09-16T09:00:00.000+08:00,MD1,50001003,50334218,Dorados,Cancun FC
2026-09-16T06:55:54+08:00,FB5216,50075845,2026-09-16T18:00:00.000+08:00,ACL,50001712,50001775,Jeonbuk Motors,Kashiwa Reysol
2026-09-16T06:55:54+08:00,FB5251,50075850,2026-09-16T18:00:00.000+08:00,AC2,50001183,50002439,FC Seoul,Persib Bandung
2026-09-16T06:55:54+08:00,FB5214,50075810,2026-09-16T20:15:00.000+08:00,ACL,50002483,50003329,Port FC,Vissel Kobe
