fetched_at_hkt,hkjc_event_id,kickoff_hkt,tournament,home_en,away_en,home_rating,away_rating,home_opta_name,away_opta_name,home_match_confidence,away_match_confidence,home_rank,away_rank,coverage,source,power_updated
2026-09-22T01:10:45+00:00,FB5551,2026-09-21T05:00+08:00,USL,Indy Eleven,Oakland Roots,65.5929,62.4218,Indy Eleven,Oakland Roots,1.000,1.000,2135,2996,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5467,2026-09-21T05:30+08:00,BD1,Flamengo,RB Bragantino,90.2363,83.0084,Flamengo,RB Bragantino,1.000,1.000,26,140,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5550,2026-09-21T06:13+08:00,APL,Belgrano,Estudiantes Rio Cuarto,83.1107,76.1155,Belgrano,Estudiantes RÃ­o Cuarto,1.000,1.000,137,577,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5468,2026-09-21T06:30+08:00,BD1,Athletico Paranaense,Bahia,84.4394,84.5034,Athletico Paranaense,Bahia,1.000,1.000,96,94,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5443,2026-09-21T06:57+08:00,UD1,Montevideo Liverpool,Racing Club Montevideo,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5457,2026-09-21T07:00+08:00,MLS,Inter Miami CF,San Diego FC,82.5604,78.2731,Inter Miami,San Diego,1.000,1.000,154,390,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5546,2026-09-21T07:00+08:00,USL,Sacramento Republic,San Antonio FC,68.1227,69.0243,Sacramento Republic,San Antonio,1.000,1.000,1608,1444,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5547,2026-09-21T07:00+08:00,MD1,Tapatio,Tlaxcala,,67.5183,,Tlaxcala,,1.000,,1724,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5579,2026-09-21T07:00+08:00,MXLW,Atletico San Luis Women,Pachuca Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5580,2026-09-21T07:00+08:00,MLSW,Utah Royals Women,Angel City Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5581,2026-09-21T07:00+08:00,MLSW,Bay FC Women,Racing Louisville Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5459,2026-09-21T08:00+08:00,MXL,Toluca,Santos Laguna,86.5351,73.7810,Toluca,Santos Laguna,1.000,1.000,59,805,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5460,2026-09-21T08:00+08:00,MXL,Pachuca,Tijuana,80.8786,78.9713,Pachuca,Tijuana,1.000,1.000,240,354,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5502,2026-09-21T08:28+08:00,APL,Velez Sarsfield,Tigre,83.6290,81.4080,VÃ©lez Sarsfield,Tigre,1.000,1.000,121,211,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5458,2026-09-21T10:05+08:00,MXL,Queretaro,Club Leon,,57.3140,,Leon,,1.000,,4578,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5568,2026-09-21T15:00+08:00,AWF,Korea Republic Women,Korea DPR Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5569,2026-09-21T15:00+08:00,AWF,China Women,Philippines Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5601,2026-09-21T17:00+08:00,INT,Zambia U20,Comoros U20,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5570,2026-09-21T18:30+08:00,AWF,Vietnam Women,Thailand Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5571,2026-09-21T18:30+08:00,AWF,Japan Women,Chinese Taipei Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5599,2026-09-21T20:00+08:00,INT,Botswana U20,Malawi U20,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5600,2026-09-21T21:00+08:00,INT,South Africa U20,Angola U20,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5585,2026-09-21T23:00+08:00,QSC,Umm Salal,Al Kharaitiyat,61.1039,62.3222,Umm Salal,Al Kharaitiyat,1.000,1.000,3390,3025,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5582,2026-09-22T00:00+08:00,GSLW,Werder Bremen Women,Stuttgart Women,,,,,,,,,NONE,Opta Power Rankings,2026-09-22T01:10:45+00:00
2026-09-22T01:10:45+00:00,FB5586,2026-09-22T01:15+08:00,QSC,Lusail SC,Al Markhiya,,65.4749,,Al Markhiya,,1.000,,2155,AWAY_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5587,2026-09-22T01:15+08:00,QSC,Al Duhail,Al Arabi Doha,71.9153,,Al Duhail,,1.000,,1045,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5501,2026-09-22T01:28+08:00,APL,Aldosivi,Atletico Tucuman,77.0040,,Aldosivi,,1.000,,496,,HOME_ONLY,Opta Power Rankings,2026-09-22T01:10:28+00:00
2026-09-22T01:10:45+00:00,FB5508,2026-09-22T05:58+08:00,APL,Barracas Central,Independiente Rivadavia,79.5812,84.5911,Barracas Central,Independiente Rivadavia,1.000,1.000,311,89,BOTH,Opta Power Rankings,2026-09-22T01:10:28+00:00
