hkjc_team_id,hkjc_team_name,provider,provider_team_id,manager_id,canonical_name,role,appointment_date,tenure_days,evidence_class,confirmed,confidence,source_url,source_timestamp,fetched_at,raw_context
50002311,O'Higgins,fotmob,6296,52228,Lucas Bovaglio,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6296,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":52228,""height"":183,""age"":47,""dateOfBirth"":""1979-04-19"",""name"":""Lucas Bovaglio"",""ccode"":""ARG"",""cname"":""Argentina"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50002391,Palestine,fotmob,6333,1553403,Ehab Abu Jazar,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6333,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":1553403,""height"":null,""age"":46,""dateOfBirth"":""1980-09-01"",""name"":""Ehab Abu Jazar"",""ccode"":""PLE"",""cname"":""Palestine"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50002502,Portugal,fotmob,8361,159073,Jorge Jesus,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=8361,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":159073,""height"":null,""age"":72,""dateOfBirth"":""1954-07-24"",""name"":""Jorge Jesus"",""ccode"":""POR"",""cname"":""Portugal"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50002546,Qatar,fotmob,5902,396454,Julen Lopetegui,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=5902,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":396454,""height"":185,""age"":60,""dateOfBirth"":""1966-08-28"",""name"":""Julen Lopetegui"",""ccode"":""ESP"",""cname"":""Spain"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50002743,Sao Bernardo,fotmob,231931,1460518,Ricardo Catalá,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=231931,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":1460518,""height"":null,""age"":44,""dateOfBirth"":""1982-04-28"",""name"":""Ricardo Catalá"",""ccode"":""BRA"",""cname"":""Brazil"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50002755,Saudi Arabia AM,fotmob,610874,41639,Luigi Di Biagio,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=610874,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":41639,""height"":175,""age"":55,""dateOfBirth"":""1971-06-03"",""name"":""Luigi Di Biagio"",""ccode"":""ITA"",""cname"":""Italy"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50002798,Serbia,fotmob,8205,30568,Veljko Paunović,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=8205,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":30568,""height"":183,""age"":49,""dateOfBirth"":""1977-08-21"",""name"":""Veljko Paunović"",""ccode"":""SRB"",""cname"":""Serbia"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50003134,Tunisia,fotmob,6719,105471,Mouine Chaâbani,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6719,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":105471,""height"":null,""age"":45,""dateOfBirth"":""1981-06-18"",""name"":""Mouine Chaâbani"",""ccode"":""TUN"",""cname"":""Tunisia"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50003183,Uganda,fotmob,5890,420777,Paul Put,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=5890,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":420777,""height"":null,""age"":70,""dateOfBirth"":""1956-05-26"",""name"":""Paul Put"",""ccode"":""BEL"",""cname"":""Belgium"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50003212,Universidad Chile,fotmob,6310,18814,Fernando Gago,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=6310,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":18814,""height"":178,""age"":40,""dateOfBirth"":""1986-04-10"",""name"":""Fernando Gago"",""ccode"":""ARG"",""cname"":""Argentina"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50003222,Uruguay,fotmob,5796,38460,Diego Forlán,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=5796,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":38460,""height"":180,""age"":47,""dateOfBirth"":""1979-05-19"",""name"":""Diego Forlán"",""ccode"":""URU"",""cname"":""Uruguay"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50003245,Uzbekistan,fotmob,8700,34520,Fabio Cannavaro,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=8700,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":34520,""height"":176,""age"":53,""dateOfBirth"":""1973-09-13"",""name"":""Fabio Cannavaro"",""ccode"":""ITA"",""cname"":""Italy"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50003246,Uzbekistan AM,fotmob,613636,643621,Ravshan Khaydarov,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=613636,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":643621,""height"":null,""age"":65,""dateOfBirth"":""1961-07-15"",""name"":""Ravshan Khaydarov"",""ccode"":""UZB"",""cname"":""Uzbekistan"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50003311,Vietnam AM,fotmob,624125,31089,Kim Sang-Sik,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=624125,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":31089,""height"":184,""age"":49,""dateOfBirth"":""1976-12-17"",""name"":""Kim Sang-Sik"",""ccode"":""KOR"",""cname"":""Korea Republic"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50003322,Vila Nova,fotmob,109706,493689,Guto Ferreira,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=109706,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":493689,""height"":null,""age"":61,""dateOfBirth"":""1965-09-07"",""name"":""Guto Ferreira"",""ccode"":""BRA"",""cname"":""Brazil"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50003347,Wales,fotmob,5790,33781,Craig Bellamy,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=5790,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":33781,""height"":175,""age"":47,""dateOfBirth"":""1979-07-13"",""name"":""Craig Bellamy"",""ccode"":""WAL"",""cname"":""Wales"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
50288881,Deportes Santa Cruz,fotmob,584834,335720,Dalcio Giovagnoli,squad_coach,,,FACT,true,1.0,https://www.fotmob.com/api/data/teams?id=584834,2026-09-24T03:31:49.182378+00:00,2026-09-24T03:31:49.182378+00:00,"{""id"":335720,""height"":null,""age"":63,""dateOfBirth"":""1963-06-05"",""name"":""Dalcio Giovagnoli"",""ccode"":""ARG"",""cname"":""Argentina"",""role"":{""key"":""coach"",""fallback"":""Coach""},""excludeFromRanking"":true}"
