hkjc_team_id,hkjc_name_en,cohort,hkjc_event_id,reason,candidate_count,best_score,best_external_name,best_external_team_id,kickoff_delta_seconds,fetched_at
50001232,Fenix,SENIOR,FB5649,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002154,Montevideo Liverpool,SENIOR,FB5650,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50622150,Montevideo Colon FC,SENIOR,FB5650,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50356280,Barcelona Women,WOMEN,FB5677,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50356308,Paris FC Women,WOMEN,FB5677,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50355599,Chelsea Women,WOMEN,FB5678,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50462420,Austria Vienna Women,WOMEN,FB5678,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50000913,Curico Unido,SENIOR,FB5632,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50331022,Deportes Concepcion,SENIOR,FB5632,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50000613,CA Cerro,SENIOR,FB5647,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50268766,Deportivo Maldonado,SENIOR,FB5647,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002157,Montevideo Wanderers,SENIOR,FB5648,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50621329,Cerrito,SENIOR,FB5648,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001621,Iquique,SENIOR,FB5633,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50000186,Antofagasta,SENIOR,FB5633,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50003199,Union La Calera,SENIOR,FB5634,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50003210,Universidad Catolica,SENIOR,FB5634,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002773,Seattle Sounders,SENIOR,FB5651,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50002609,Real Salt Lake,SENIOR,FB5651,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50001684,Japan,SENIOR,FB5659,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
50003222,Uruguay,SENIOR,FB5659,SOURCE_ERROR,0,,,,,2026-09-23T08:29:22.453585+00:00
