source_name,source_key,team_key,hkjc_name_en,hkjc_name_zh,confidence,event_count
Malaysia,malaysia,HKJC:malaysia,Malaysia,馬來西亞,0.99,1
Maldives,maldives,HKJC:maldives,Maldives,馬爾代夫,0.99,1
Mallorca,mallorca,HKJC:mallorca,Mallorca,馬略卡,0.99,1
Mauritania,mauritania,HKJC:mauritania,Mauritania,毛里塔尼亞,0.99,1
Moldova,moldova,HKJC:moldova,Moldova,摩爾多瓦,0.99,1
Montedio Yamagata,montedioyamagata,HKJC:montedioyamagata,Montedio Yamagata,山形山神,0.99,1
Montenegro,montenegro,HKJC:montenegro,Montenegro,黑山,0.99,1
Monterrey,monterrey,HKJC:monterrey,Monterrey,蒙特雷,0.99,1
Morocco,morocco,HKJC:morocco,Morocco,摩洛哥,0.99,1
Mozambique,mozambique,HKJC:mozambique,Mozambique,莫桑比克,0.99,1
Namibia,namibia,HKJC:namibia,Namibia,納米比亞,0.99,1
Netherlands,netherlands,HKJC:netherlands,Netherlands,荷蘭,0.99,1
Netherlands U21,netherlandsu21,HKJC:netherlandsu21,Netherlands U21,荷蘭U21,0.99,1
New Zealand,newzealand,HKJC:newzealand,New Zealand,新西蘭,0.98,1
Nicaragua,nicaragua,HKJC:nicaragua,Nicaragua,尼加拉瓜,0.99,1
Niger,niger,HKJC:niger,Niger,尼日爾,0.99,1
Nigeria,nigeria,HKJC:nigeria,Nigeria,尼日利亞,0.99,1
North Macedonia,northmacedonia,HKJC:northmacedonia,North Macedonia,北馬其頓,0.99,1
Northern Ireland,northernireland,HKJC:northernireland,Northern Ireland,北愛爾蘭,0.99,1
Norway,norway,HKJC:norway,Norway,挪威,0.99,1
Norway U21,norwayu21,HKJC:norwayu21,Norway U21,挪威U21,0.99,1
Novorizontino,novorizontino,HKJC:novorizontino,Novorizontino,路禾利桑天奴,0.99,1
O'Higgins,ohiggins,HKJC:ohiggins,O'Higgins,奧希金斯,0.99,1
Oita Trinita,oitatrinita,HKJC:oitatrinita,Oita Trinita,大分三神,0.99,1
Palestine,palestine,HKJC:palestine,Palestine,巴勒斯坦,0.98,1
Panama,panama,HKJC:panama,Panama,巴拿馬,0.99,1
Portugal,portugal,HKJC:portugal,Portugal,葡萄牙,0.99,1
Portugal U21,portugalu21,HKJC:portugalu21,Portugal U21,葡萄牙U21,0.99,1
Qatar,qatar,HKJC:qatar,Qatar,卡塔爾,0.99,1
Racing Club,racingclub,HKJC:racingclub,Racing Club,競賽會,0.99,1
RB Omiya Ardija,rbomiyaardija,HKJC:rbomiyaardija,RB Omiya Ardija,RB大宮松鼠,0.99,1
Romania,romania,HKJC:romania,Romania,羅馬尼亞,0.99,1
Sabadell,sabadell,HKJC:sabadell,Sabadell,沙巴度爾,0.99,1
Sagan Tosu,sagantosu,HKJC:sagantosu,Sagan Tosu,鳥棲砂岩,0.99,1
San Marino,sanmarino,HKJC:sanmarino,San Marino,聖馬力諾,0.99,1
