hkjc_event_id,kickoff_hkt,hkjc_team_id,hkjc_team_name,side,verified_history_matches,previous_verified_kickoff,rest_hours,starter_overlap,starters_changed,verified_squad_size,goalkeepers,defenders,midfielders,attackers,future_fixtures_7d,future_fixtures_14d,rotation_evidence_class,depth_evidence_class,congestion_evidence_class,source
FB5598,2026-09-25T02:45:00+08:00,50001650,Israel,AWAY,0,,,,,28,0,8,9,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5690,2026-09-25T03:00:00+08:00,50003134,Tunisia,HOME,0,,,,,24,0,8,8,5,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5690,2026-09-25T03:00:00+08:00,50003183,Uganda,AWAY,0,,,,,29,0,9,8,8,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5694,2026-09-25T03:00:00+08:00,50000656,Cameroon,HOME,0,,,,,27,0,10,4,9,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5694,2026-09-25T03:00:00+08:00,50000823,Comoros,AWAY,0,,,,,23,0,7,7,5,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5696,2026-09-25T03:00:00+08:00,50000857,Cote d'Ivoire,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5696,2026-09-25T03:00:00+08:00,50001394,Ghana,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5635,2026-09-25T04:57:00+08:00,50002311,O'Higgins,HOME,0,,,,,31,0,10,8,9,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5635,2026-09-25T04:57:00+08:00,50288881,Deportes Santa Cruz,AWAY,0,,,,,37,0,9,12,12,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5636,2026-09-25T07:27:00+08:00,50001139,Everton VM,HOME,0,,,,,32,0,12,9,6,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5636,2026-09-25T07:27:00+08:00,50003212,Universidad Chile,AWAY,0,,,,,38,0,12,12,9,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5689,2026-09-25T08:00:00+08:00,50001501,Haiti,HOME,0,,,,,26,0,9,7,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5689,2026-09-25T08:00:00+08:00,50003123,Trinidad and Tobago,AWAY,0,,,,,35,0,13,8,10,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5700,2026-09-25T08:00:00+08:00,50288636,Dominican Republic,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5700,2026-09-25T08:00:00+08:00,50002258,Nicaragua,AWAY,0,,,,,43,0,12,13,11,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5673,2026-09-25T09:00:00+08:00,50002123,Mineros Zacatecas,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5673,2026-09-25T09:00:00+08:00,50601674,Piratas FC,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5674,2026-09-25T09:00:00+08:00,50002315,Oaxaca,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5674,2026-09-25T09:00:00+08:00,50334216,Atletico La Paz,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5688,2026-09-25T10:00:00+08:00,50000847,Costa Rica,HOME,0,,,,,36,0,12,11,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5688,2026-09-25T10:00:00+08:00,50000912,Curacao,AWAY,0,,,,,27,0,8,7,8,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5702,2026-09-25T13:00:00+08:00,50003246,Uzbekistan AM,HOME,0,,,,,20,0,6,6,4,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5702,2026-09-25T13:00:00+08:00,50002755,Saudi Arabia AM,AWAY,0,,,,,24,0,8,7,5,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5666,2026-09-25T14:00:00+08:00,50001806,Korea DPR Women,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5666,2026-09-25T14:00:00+08:00,50000768,Chinese Taipei Women,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5667,2026-09-25T14:00:00+08:00,50000765,China Women,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5667,2026-09-25T14:00:00+08:00,50003314,Vietnam Women,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5785,2026-09-25T17:00:00+08:00,50000361,Bangladesh,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5785,2026-09-25T17:00:00+08:00,50002005,Malaysia,AWAY,0,,,,,24,0,7,7,6,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5719,2026-09-25T18:00:00+08:00,50000299,Australia,HOME,0,,,,,37,0,10,15,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5719,2026-09-25T18:00:00+08:00,50000524,Brazil,AWAY,0,,,,,40,0,14,10,12,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5668,2026-09-25T18:30:00+08:00,50001689,Japan Women,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5668,2026-09-25T18:30:00+08:00,50002456,Philippines Women,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5669,2026-09-25T18:30:00+08:00,50001814,Korea Republic Women,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5669,2026-09-25T18:30:00+08:00,50264497,Uzbekistan Women,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5703,2026-09-25T18:30:00+08:00,50001809,Korea Republic AM,HOME,0,,,,,24,0,8,7,5,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5703,2026-09-25T18:30:00+08:00,50003311,Vietnam AM,AWAY,0,,,,,18,0,5,7,3,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5760,2026-09-25T21:00:00+08:00,50002997,Sudan,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
