fetched_at_hkt,hkjc_event_id,side,hkjc_team_id,hkjc_name_en,source,source_alias,match_score,reason
2026-09-20T15:10:24+08:00,FB5384,HOME,50003083,Tochigi City,FOREBET,Tochigi Uva,0.848,EVENT_MATCH_SCORE_BELOW_0.90
2026-09-20T15:10:24+08:00,FB5384,AWAY,50003284,Vegalta Sendai,FOREBET,Vegalta Sendai,0.848,EVENT_MATCH_SCORE_BELOW_0.90
2026-09-20T15:10:24+08:00,FB5496,HOME,50001762,KV Kortrijk,FOREBET,KV Kortrijk,0.846,EVENT_MATCH_SCORE_BELOW_0.90
2026-09-20T15:10:24+08:00,FB5496,AWAY,50003344,SK Beveren,FOREBET,Waasland Beveren,0.846,EVENT_MATCH_SCORE_BELOW_0.90
