hkjc_team_id,hkjc_name_en,hkjc_event_id,reason,search_status,candidate_count,best_candidate,fetched_at
50003210,Universidad Catolica,FB5634,EVENT_ABSENT,429,0,,2026-09-22T21:31:00.964124+00:00
50001684,Japan,FB5659,EVENT_ABSENT,429,0,,2026-09-22T21:31:00.964124+00:00
50003222,Uruguay,FB5659,EVENT_ABSENT,429,0,,2026-09-22T21:31:00.964124+00:00
50001808,Korea Republic,FB5660,EVENT_ABSENT,429,0,,2026-09-22T21:31:00.964124+00:00
50001042,Ecuador,FB5660,EVENT_ABSENT,429,0,,2026-09-22T21:31:00.964124+00:00
50000760,China,FB5661,EVENT_ABSENT,429,0,,2026-09-22T21:31:00.964124+00:00
50002009,Maldives,FB5661,EVENT_ABSENT,429,0,,2026-09-22T21:31:00.964124+00:00
50000439,Belgium U21,FB5616,NAME_MISMATCH,NOT_RUN,0,"[1800.0, 0.36363636363636365, 0.42105263157894735, ""U21"", ""San Marino U21"", ""Kosovo U21""]",2026-09-22T21:31:00.964124+00:00
50000432,Belarus U21,FB5616,NAME_MISMATCH,NOT_RUN,0,"[1800.0, 0.42105263157894735, 0.36363636363636365, ""U21"", ""Kosovo U21"", ""San Marino U21""]",2026-09-22T21:31:00.964124+00:00
50001909,Liechtenstein,FB5592,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.24, 0.1111111111111111, ""U21"", ""San Marino U21"", ""Kosovo U21""]",2026-09-22T21:31:00.964124+00:00
50001926,Lithuania,FB5592,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.1111111111111111, 0.24, ""U21"", ""Kosovo U21"", ""San Marino U21""]",2026-09-22T21:31:00.964124+00:00
50002502,Portugal,FB5593,COHORT_MISMATCH,NOT_RUN,0,"[900.0, 0.2, 0.14285714285714285, ""U21"", ""San Marino U21"", ""Kosovo U21""]",2026-09-22T21:31:00.964124+00:00
