source,source_competition,hkjc_tournament,competition_url,status,note
FOREBET,CLW,UCLW,https://www.forebet.com/en/predictions-europe/champions-league-women,VERIFIED,Verified Champions League Women route from current Forebet fixtures
FOREBET,MxW,MXLW,https://www.forebet.com/en/football-tips-and-predictions-for-mexico/liga-mx-women,VERIFIED,Verified Liga MX Women route; source has recurring MxW fixtures and predictions
