canonical_team_id,hkjc_team_id,canonical_name_en,first_seen_hkt,last_seen_hkt,last_event_id
hkjc:50000276,50000276,Atletico Mineiro,2026-09-16T07:13:56+08:00,2026-09-16T07:13:56+08:00,FB5152
hkjc:50000283,50000283,Atletico Tucuman,2026-09-16T07:13:56+08:00,2026-09-16T07:13:56+08:00,FB5156
hkjc:50000502,50000502,Botafogo,2026-09-16T07:13:56+08:00,2026-09-16T07:13:56+08:00,FB5180
hkjc:50000838,50000838,Corinthians,2026-09-16T07:13:56+08:00,2026-09-16T07:13:56+08:00,FB5153
hkjc:50001126,50001126,Estudiantes,2026-09-16T07:13:56+08:00,2026-09-16T07:13:56+08:00,FB5153
hkjc:50001456,50001456,Gremio,2026-09-16T07:13:56+08:00,2026-09-16T07:13:56+08:00,FB5180
hkjc:50001595,50001595,Independiente Rivadavia,2026-09-16T07:13:56+08:00,2026-09-16T07:13:56+08:00,FB5156
hkjc:50002739,50002739,Santos,2026-09-16T07:13:56+08:00,2026-09-16T07:13:56+08:00,FB5152
hkjc:50283456,50283456,New Mexico Utd,2026-09-16T07:13:56+08:00,2026-09-16T07:13:56+08:00,FB5254
hkjc:50283465,50283465,Birmingham Legion,2026-09-16T07:13:56+08:00,2026-09-16T07:13:56+08:00,FB5254
