fetched_at_hkt,match_id,hkjc_event_id,kickoff_hkt,status,tournament,home_en,away_en,home_zh,away_zh,pools,had_home,had_draw,had_away,hil_line,hil_over,hil_under,chl_line,chl_over,chl_under,pool_status,in_play,selling,odds_updated_at
2026-09-22T23:08:02+08:00,50075125,FB5467,2026-09-21T05:30+08:00,INPLAYMATCHENDED,BD1,Flamengo,RB Bragantino,Flamengo,RB Bragantino,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076070,FB5550,2026-09-21T06:13+08:00,INPLAYMATCHENDED,APL,Belgrano,Estudiantes Rio Cuarto,Belgrano,Estudiantes Rio Cuarto,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075126,FB5468,2026-09-21T06:30+08:00,MATCHENDED,BD1,Athletico Paranaense,Bahia,Athletico Paranaense,Bahia,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076215,FB5443,2026-09-21T06:57+08:00,MATCHENDED,UD1,Montevideo Liverpool,Racing Club Montevideo,Montevideo Liverpool,Racing Club Montevideo,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50069833,FB5457,2026-09-21T07:00+08:00,INPLAYMATCHENDED,MLS,Inter Miami CF,San Diego FC,Inter Miami CF,San Diego FC,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076062,FB5546,2026-09-21T07:00+08:00,MATCHENDED,USL,Sacramento Republic,San Antonio FC,Sacramento Republic,San Antonio FC,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076063,FB5547,2026-09-21T07:00+08:00,INPLAYMATCHENDED,MD1,Tapatio,Tlaxcala,Tapatio,Tlaxcala,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076069,FB5579,2026-09-21T07:00+08:00,MATCHENDED,MXLW,Atletico San Luis Women,Pachuca Women,Atletico San Luis Women,Pachuca Women,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076072,FB5580,2026-09-21T07:00+08:00,MATCHENDED,MLSW,Utah Royals Women,Angel City Women,Utah Royals Women,Angel City Women,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076073,FB5581,2026-09-21T07:00+08:00,MATCHENDED,MLSW,Bay FC Women,Racing Louisville Women,Bay FC Women,Racing Louisville Women,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50071151,FB5459,2026-09-21T08:00+08:00,MATCHENDED,MXL,Toluca,Santos Laguna,Toluca,Santos Laguna,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50071152,FB5460,2026-09-21T08:00+08:00,INPLAYMATCHENDED,MXL,Pachuca,Tijuana,Pachuca,Tijuana,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075647,FB5502,2026-09-21T08:28+08:00,INPLAYMATCHENDED,APL,Velez Sarsfield,Tigre,Velez Sarsfield,Tigre,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50071150,FB5458,2026-09-21T10:05+08:00,INPLAYMATCHENDED,MXL,Queretaro,Club Leon,Queretaro,Club Leon,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075688,FB5568,2026-09-21T15:00+08:00,INPLAYMATCHENDED,AWF,Korea Republic Women,Korea DPR Women,Korea Republic Women,Korea DPR Women,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075690,FB5569,2026-09-21T15:00+08:00,INPLAYMATCHENDED,AWF,China Women,Philippines Women,China Women,Philippines Women,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076584,FB5601,2026-09-21T17:00+08:00,INPLAYMATCHENDED,INT,Zambia U20,Comoros U20,Zambia U20,Comoros U20,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075695,FB5570,2026-09-21T18:30+08:00,INPLAYMATCHENDED,AWF,Vietnam Women,Thailand Women,Vietnam Women,Thailand Women,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075696,FB5571,2026-09-21T18:30+08:00,INPLAYMATCHENDED,AWF,Japan Women,Chinese Taipei Women,Japan Women,Chinese Taipei Women,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076361,FB5599,2026-09-21T20:00+08:00,INPLAYMATCHENDED,INT,Botswana U20,Malawi U20,Botswana U20,Malawi U20,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076362,FB5600,2026-09-21T21:00+08:00,INPLAYMATCHENDED,INT,South Africa U20,Angola U20,South Africa U20,Angola U20,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076135,FB5585,2026-09-21T23:00+08:00,INPLAYMATCHENDED,QSC,Umm Salal,Al Kharaitiyat,Umm Salal,Al Kharaitiyat,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076096,FB5582,2026-09-22T00:00+08:00,INPLAYMATCHENDED,GSLW,Werder Bremen Women,Stuttgart Women,Werder Bremen Women,Stuttgart Women,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076136,FB5586,2026-09-22T01:15+08:00,MATCHENDED,QSC,Lusail SC,Al Markhiya,Lusail SC,Al Markhiya,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076137,FB5587,2026-09-22T01:15+08:00,MATCHENDED,QSC,Al Duhail,Al Arabi Doha,Al Duhail,Al Arabi Doha,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075646,FB5501,2026-09-22T01:28+08:00,INPLAYMATCHENDED,APL,Aldosivi,Atletico Tucuman,Aldosivi,Atletico Tucuman,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50075654,FB5508,2026-09-22T05:58+08:00,INPLAYMATCHENDED,APL,Barracas Central,Independiente Rivadavia,Barracas Central,Independiente Rivadavia,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076191,FB5442,2026-09-22T06:27+08:00,MATCHENDED,UD1,Central Espanol,Montevideo City Torque,Central Espanol,Montevideo City Torque,,,,,,,,,,,,0,0,
