captured_at_hkt,kickoff_hkt,hkjc_event_id,home,away,movement_side,now_odds,odds_24h,move_24h_pp,odds_2h,move_2h_pp,odds_1h,move_1h_pp,vol_24h_pp,signal,model_side,model_prob,model_alignment,match_confidence,alert_score
2026-09-26T08:58:52+08:00,2026-09-26T09:00+08:00,FB5718,Atlante,Monterrey,A,2.340,,,2.210,-1.69,,,1.69,COLLECTING,A,40.0,CONFLICT,1.000,0.000
2026-09-26T08:58:52+08:00,2026-09-26T09:00+08:00,FB5782,El Paso Locomotive,FC Tulsa,D,3.500,,,3.685,1.81,,,1.81,COLLECTING,D,37.0,YES,0.970,0.000
2026-09-26T08:58:52+08:00,2026-09-26T09:00+08:00,FB5806,Honduras,Suriname,H,1.620,,,1.671,1.74,,,1.74,COLLECTING,H,39.0,YES,1.000,0.000
2026-09-26T08:58:52+08:00,2026-09-26T11:00+08:00,FB5707,Tijuana,Atlas,H,2.120,,,,,,,,COLLECTING,H,39.0,COLLECTING,1.000,0.000
2026-09-26T08:58:52+08:00,2026-09-26T11:00+08:00,FB5807,El Salvador,Martinique,H,1.898,,,,,,,,COLLECTING,H,54.0,COLLECTING,1.000,0.000
