fetched_at_utc,hkjc_event_id,kickoff_hkt,home_id,away_id,home,away,sofascore_event_id,sofascore_home_id,sofascore_away_id,sofascore_home,sofascore_away,sofascore_tournament,kickoff_delta_seconds,mapping_status,mapping_reason,h2h_games,home_wins,draws,away_wins,home_goals,away_goals,avg_total_goals,last5,meetings_json,source,quality
2026-09-24T15:43:34+00:00,FB5661,2026-09-24T19:35:00+08:00,50000760,50002009,China,Maldives,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5691,2026-09-24T21:00:00+08:00,50002207,50000828,Namibia,Congo,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5698,2026-09-24T22:00:00+08:00,50003245,50001623,Uzbekistan,Iran,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5701,2026-09-24T23:55:00+08:00,50003206,50003395,United Arab Emirates,Yemen,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5692,2026-09-25T00:00:00+08:00,50001907,50000506,Libya,Botswana,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5693,2026-09-25T00:00:00+08:00,50002063,50000696,Mauritania,Central African Republic,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5695,2026-09-25T00:00:00+08:00,50000923,50001110,D R Congo,Equatorial Guinea,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5616,2026-09-25T02:00:00+08:00,50000439,50000432,Belgium U21,Belarus U21,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5699,2026-09-25T02:00:00+08:00,50002546,50000349,Qatar,Bahrain,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5592,2026-09-25T02:45:00+08:00,50001909,50001926,Liechtenstein,Lithuania,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5593,2026-09-25T02:45:00+08:00,50002502,50003347,Portugal,Wales,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5594,2026-09-25T02:45:00+08:00,50002295,50000950,Norway,Denmark,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5595,2026-09-25T02:45:00+08:00,50002798,50001451,Serbia,Greece,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5596,2026-09-25T02:45:00+08:00,50002222,50001357,Netherlands,Germany,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5597,2026-09-25T02:45:00+08:00,50001834,50002623,Kosovo,Republic of Ireland,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5598,2026-09-25T02:45:00+08:00,50000320,50001650,Austria,Israel,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5690,2026-09-25T03:00:00+08:00,50003134,50003183,Tunisia,Uganda,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5694,2026-09-25T03:00:00+08:00,50000656,50000823,Cameroon,Comoros,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5696,2026-09-25T03:00:00+08:00,50000857,50001394,Cote d'Ivoire,Ghana,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5635,2026-09-25T04:57:00+08:00,50002311,50288881,O'Higgins,Deportes Santa Cruz,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5636,2026-09-25T07:27:00+08:00,50001139,50003212,Everton VM,Universidad Chile,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5689,2026-09-25T08:00:00+08:00,50001501,50003123,Haiti,Trinidad and Tobago,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5700,2026-09-25T08:00:00+08:00,50288636,50002258,Dominican Republic,Nicaragua,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5673,2026-09-25T09:00:00+08:00,50002123,50601674,Mineros Zacatecas,Piratas FC,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5674,2026-09-25T09:00:00+08:00,50002315,50334216,Oaxaca,Atletico La Paz,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5688,2026-09-25T10:00:00+08:00,50000847,50000912,Costa Rica,Curacao,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5702,2026-09-25T13:00:00+08:00,50003246,50002755,Uzbekistan AM,Saudi Arabia AM,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5666,2026-09-25T14:00:00+08:00,50001806,50000768,Korea DPR Women,Chinese Taipei Women,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
