DATE,TIME,LEAGUE,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,SOURCE_URL,SOURCE_DATE,SOURCE_TIME,TIMEZONE,HOME_AWAY_EXPLICIT
22/09/2026,18:45,,Chippenham,Sholing FC,41,31,28,72,69,59,67,56,44,52,48,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Clachnacuddin,Ross County,21,13,66,34,87,79,94,22,78,48,52,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Dagenham and Redbridge,Waltham Abbey,67,15,18,82,85,33,86,32,68,47,53,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,East Kilbride,Celtic B,75,14,11,89,86,25,91,23,77,57,43,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Edinburgh City,Dundee United B,75,14,11,89,86,25,91,29,71,49,51,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Elgin City,Dundee FC B,57,13,30,70,87,43,86,25,75,55,45,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Forfar Athletic,Peterhead,35,21,44,56,79,65,82,36,64,54,46,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Formartine Utd,Montrose,36,22,42,58,78,64,92,32,68,66,34,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Fraserburgh,Cove Rangers,46,18,36,64,82,54,92,39,61,55,45,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Gainsborough,Leamington,50,22,28,72,78,50,87,34,66,62,38,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Gala Fairydean Rovers,Spartans,24,18,58,42,82,76,89,28,72,54,46,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Leiston FC,Peterborough Sports,45,33,22,78,67,55,85,38,62,64,36,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Malvern Town,Gloucester City,26,26,48,52,74,74,85,38,62,57,43,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Poole Town,Wimborne Town,43,29,28,72,71,57,83,43,57,55,45,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Queen Of The South,Annan Athletic,51,21,28,72,79,49,74,44,56,54,46,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Rushall Olympic,Kettering,31,36,33,67,64,69,80,48,52,63,37,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Stirling Albion,Cumbernauld Colts,56,22,22,78,78,44,91,32,68,57,43,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Stourbridge,Real Bedford,24,25,51,49,75,76,91,37,63,67,33,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Stratford,Bromsgrove Sporting FC,24,26,50,50,74,76,81,45,55,57,43,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Taunton Town,Bath City,47,30,23,77,70,53,84,31,69,59,41,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Three Bridges,Leatherhead,24,28,48,52,72,76,89,28,72,72,28,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Truro City,Merthyr,55,26,19,81,74,45,75,50,50,55,45,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Worcester,Banbury United,49,30,21,79,70,51,68,50,50,50,50,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Worksop,AFC Telford Utd,46,29,25,75,71,54,76,45,55,55,45,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,18:45,,Yate Town,Evesham United,50,26,24,76,74,50,84,36,64,56,44,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,19:00,,MC Alger,MC Oran,65,24,11,89,76,35,70,55,45,38,62,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,20:00,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,19:00,,Real Madrid (w),Paris Saint Germain (w),47,25,28,72,75,53,84,42,58,54,46,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,20:00,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,21:00,,Deportes Puerto Montt,Nublense,41,22,37,63,78,59,85,48,52,43,57,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,22:00,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,22:30,,Criciuma,Operario-PR,45,31,24,76,69,55,83,53,47,41,59,STA,https://www.statarea.com/predictions/date/2026-09-22/competition,2026-09-22,23:30,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,23:00,,Independiente Medellin,Jaguares,66,24,10,90,76,34,78,45,55,46,54,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,00:00,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,23:30,,Audax Italiano,Colo Colo,24,26,50,50,74,76,82,40,60,57,43,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,00:30,DYNAMIC_OFFSET:source-utc=+60m,1
22/09/2026,23:30,,Cobreloa,Coquimbo,47,29,24,76,71,53,85,46,54,60,40,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,00:30,DYNAMIC_OFFSET:source-utc=+60m,1
23/09/2026,01:00,,Santa Fe,Deportivo Cali,45,35,20,80,65,55,71,60,40,46,54,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,02:00,DYNAMIC_OFFSET:source-utc=+60m,1
23/09/2026,14:00,,Kladno,Banik Ostrava,31,26,43,57,74,69,92,34,66,54,46,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,15:00,DYNAMIC_OFFSET:source-utc=+60m,1
23/09/2026,16:00,,Azerbaijan,Tajikistan,60,21,19,81,79,40,80,46,54,40,60,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,17:00,DYNAMIC_OFFSET:source-utc=+60m,1
23/09/2026,16:00,,Gibraltar,Sao Tome and Principe,63,18,19,81,82,37,85,31,69,40,60,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,17:00,DYNAMIC_OFFSET:source-utc=+60m,1
23/09/2026,18:45,,Hamilton Academical,Cowdenbeath,72,14,14,86,86,28,88,35,65,50,50,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,19:45,DYNAMIC_OFFSET:source-utc=+60m,1
23/09/2026,19:00,,Barcelona (w),Paris FC (w),74,14,12,88,86,26,95,16,84,29,71,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,20:00,DYNAMIC_OFFSET:source-utc=+60m,1
23/09/2026,19:00,,Sant Andreu,Real Madrid Castilla,42,27,31,69,73,58,75,49,51,43,57,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,20:00,DYNAMIC_OFFSET:source-utc=+60m,1
23/09/2026,20:00,,Asociacion Deportiva Tarma,Cienciano,36,27,37,63,73,64,81,46,54,54,46,STA,https://www.statarea.com/predictions/date/2026-09-23/competition,2026-09-23,21:00,DYNAMIC_OFFSET:source-utc=+60m,1
